חברה,יום אקס דיבידנד,דיבידנד,סוג,תאריך תשלום,תשואה,Comfortable Date X
נפטא (NFTA),11.07.2022,,,13.07.2022,-,7/11/2022
קסטרו (CAST),11.07.2022,1016.4487,,18.07.2022,10.20%,7/11/2022
מילניום פוד יהש (MIFT),11.07.2022,,,21.07.2022,-,7/11/2022
תיקון עולם (TKUN),31.07.2022,,,16.08.2022,-,7/31/2022
ביג-טק 50 יהש (BIGTp),03.08.2022,60.8,,14.08.2022,-,8/3/2022
איביאי חיתום (IBIU),14.08.2022,17.30582,,22.08.2022,11.27%,8/14/2022
מטריקס (MTRX),17.08.2022,261.0,,28.08.2022,5.12%,8/17/2022
סאפיינס (SPNS),17.08.2022,0.23,,30.08.2022,3.08%,8/17/2022
פרקומט (PRKM),17.08.2022,25.78457,,25.08.2022,3.14%,8/17/2022
דלתא מותגים (DLTI),17.08.2022,42.452,,25.08.2022,3.46%,8/17/2022
אורמת טכנולוגיות (ORA),17.08.2022,0.12,,31.08.2022,0.49%,8/17/2022
אודיוקודס (AUDC),17.08.2022,0.18,,31.08.2022,1.59%,8/17/2022
תדיראן (TDRN),18.08.2022,462.38057,,25.08.2022,1.58%,8/18/2022
מניף שירותים פיננסיים (MNIF),18.08.2022,17.36292,,28.08.2022,6.99%,8/18/2022
אוברסיז קומרס (OVRS),18.08.2022,8.85269,,07.09.2022,5.20%,8/18/2022
ישראכרט (ISCD),18.08.2022,14.28264,,25.08.2022,6.52%,8/18/2022
שרין טכנו (SARN),21.08.2022,0.020754,,02.09.2022,7.90%,8/21/2022
דיסקונט (DSCT),21.08.2022,10.99424,,30.08.2022,2.28%,8/21/2022
פנינסולה (PEN),22.08.2022,4.6837,,30.08.2022,7.06%,8/22/2022
דלתא (DELG),22.08.2022,0.235,,06.09.2022,-,8/22/2022
"מקס סטוק בע""מ (MAXO)",22.08.2022,28.23292,,06.09.2022,4.90%,8/22/2022
סאני תקשורת (SNCM),22.08.2022,9.2067,,30.08.2022,12.04%,8/22/2022
אי.בי.אי. (IBI),22.08.2022,99.523,,29.08.2022,2.68%,8/22/2022
או.אר.טי (ORTC),23.08.2022,50.0,,06.09.2022,3.63%,8/23/2022
מזרחי טפחות (MZTF),23.08.2022,122.90837,,30.08.2022,3.80%,8/23/2022
דניה סיבוס (DNYA),23.08.2022,96.23658,,05.09.2022,4.46%,8/23/2022
אפריקה מגורים (AFRE),23.08.2022,237.2754,,30.08.2022,3.80%,8/23/2022
פולירם תעשיות פלסטיק (POLP),24.08.2022,9.37562,,08.09.2022,2.77%,8/24/2022
בינלאומי (FIBI),24.08.2022,169.44078,,01.09.2022,6.69%,8/24/2022
פועלים (POLI),24.08.2022,30.14578,,07.09.2022,2.69%,8/24/2022
ג'י וואן (GOSS),24.08.2022,10.78592,,01.09.2022,9.23%,8/24/2022
אי.טי.ג'י.איי (ETGA),24.08.2022,24.578,,31.08.2022,3.47%,8/24/2022
מימון ישיר (DIFI),25.08.2022,1249.677,,04.09.2022,4.57%,8/25/2022
ניו-מד אנרג יהש (NWMDp),25.08.2022,0.0426,,22.09.2022,-,8/25/2022
לפידות (LAPD),28.08.2022,48.96882,,05.09.2022,3.15%,8/28/2022
אופל בלאנס (OPAL),28.08.2022,3.63268,,05.09.2022,5.31%,8/28/2022
לאומי (LUMI),29.08.2022,25.81761,,06.09.2022,5.11%,8/29/2022
קרסו מוטורס (CRSM),29.08.2022,185.98561,,06.09.2022,13.09%,8/29/2022
גבעות יהש (GIVOp),30.08.2022,,,11.09.2022,-,8/30/2022
מג'יק (MGIC),30.08.2022,0.29,,13.09.2022,2.87%,8/30/2022
וואן טכנולוגיות (ONE),30.08.2022,37.05408,,13.09.2022,2.20%,8/30/2022
רמי לוי (RMLI),30.08.2022,217.77663,,07.09.2022,5.14%,8/30/2022
ווינד באז (WNBZ),30.08.2022,133.7,,08.09.2022,72.00%,8/30/2022
עילדב-ש (ELDAV),30.08.2022,5.58968,,07.09.2022,15.67%,8/30/2022
שנפ (SHNP),30.08.2022,15.75436,,06.09.2022,4.31%,8/30/2022
אנרג'יקס (ENRG),30.08.2022,5.0,,13.09.2022,1.33%,8/30/2022
מיטרוניקס (MTRN),31.08.2022,59.46906,,29.09.2022,2.37%,8/31/2022
איי.סי.אל (ICL),31.08.2022,96.4399,,14.09.2022,7.12%,8/31/2022
אסאר אקורד (SRAC),31.08.2022,36.91192,,13.09.2022,3.84%,8/31/2022
אלקו (ELCO),31.08.2022,73.52,,20.09.2022,1.11%,8/31/2022
ג'נגו (JNGO),31.08.2022,0.47368,,08.09.2022,14.09%,8/31/2022
דמרי (DIMRI),31.08.2022,240.54047,,11.09.2022,2.76%,8/31/2022
פרשקובסקי (PRSK),01.09.2022,50.0,,11.09.2022,2.01%,9/1/2022
נאוי (NAWI),01.09.2022,91.65767,,11.09.2022,7.95%,9/1/2022
אאורה השקעות (AURA),01.09.2022,2.3393,,08.09.2022,0.84%,9/1/2022
