חברה,predicted_ex_date,days_until,frequency,last_occurrence,avg_dividend,confidence,pattern_years
צור (ZUR),08.06.2025,0,2,2023,9.98466,52.0,"2022, 2023"
י.ד. מור השקעות (MRIN),13.06.2025,5,2,2024,21.03832,58.0,"2023, 2024"
